what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1366022526562
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.artifact.repository",1366022526593
started,bundle,org.eclipse.equinox.p2.publisher,1.1.0.v20100513,"org.eclipse.equinox.p2.publisher",1366022526734
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.0.v20100513,"org.eclipse.equinox.p2.touchpoint.eclipse",1366022526765
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1366022530781
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1366022530812
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.200.v20100503a,"org.eclipse.equinox.p2.touchpoint.natives",1366022531031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022597687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022597953
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022629437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022629578
error,log,,,"An internal error occurred during: ""Install download1"".",1366022648312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022657437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022663171
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022670437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022674218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022674218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022674359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022693875
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022696062
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022696062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022696250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022710531
error,log,,,"An internal error occurred during: ""Install download0"".",1366022713812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022713828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022718156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022719390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022720828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022722703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022724578
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366022724656
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1366022724984
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1366022724984
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1366022724984
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1366022724984
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1366022724984
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1366022724984
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1366022724984
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1366022725000
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1366022725000
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1366022725000
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1366022725000
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1366022725000
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1366022725000
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1366022725000
